index,Diff_VIX_1d,Diff_VIX_1w,Diff_VIX_2w,Diff_V2X_1d,Diff_V2X_1w,Diff_V2X_2w,Diff_EURUSD_1d,Diff_EURUSD_1w,Diff_EURUSD_2w,Diff_EURUSDV1M_1d,Diff_EURUSDV1M_1w,Diff_EURUSDV1M_2w,Diff_USGG10YR_1d,Diff_USGG10YR_1w,Diff_USGG10YR_2w,Diff_USGG2YR_1d,Diff_USGG2YR_1w,Diff_USGG2YR_2w,Diff_GDBR10YR_1d,Diff_GDBR10YR_1w,Diff_GDBR10YR_2w,Diff_GDBR2YR_1d,Diff_GDBR2YR_1w,Diff_GDBR2YR_2w,Diff_SX5E_1d,Diff_SX5E_1w,Diff_SX5E_2w,Diff_SPX_1d,Diff_SPX_1w,Diff_SPX_2w,Diff_SRVIX_1d,Diff_SRVIX_1w,Diff_SRVIX_2w,Diff_CVIX_1d,Diff_CVIX_1w,Diff_CVIX_2w,Diff_MOVE_1d,Diff_MOVE_1w,Diff_MOVE_2w
549,0.28,0.7,0.16,1.686,3.0138,1.7363,0.0018,-0.002,0.0117,0.4875,0.395,-0.5825,-0.0321,-0.1291,-0.0532,-0.0328,-0.079,0.0034,-0.017,-0.106,-0.014,-0.011,-0.019,0,-10.69,-53.08,-77.98,-0.11,-12.24,-39.04,0.08,-0.22,-2.51,0.69,0.66,0.45,1.7003,-0.0525,-1.9229
550,-0.22,0.55,0.26,0.3119,-0.3329,0.3872,0.0044,-0.0028,-0.006,0.015,-0.045,0.695,-0.0144,0.0538,0.052,-0.0246,0.0187,0.024,0.009,0.027,0.014,-0.006,0,-0.03,-11.62,-48.66,-98.57,-8.3,-35.03,-49.17,-0.01,0.55,1.1,0.07,0.14,0.76,0.8559,3.9622,2.7394
551,-0.59,1.86,1.83,0.5321,1.7368,0.6542,-0.0011,-0.0067,-0.03,0.11,-0.02,-0.7425,0.005,-0.0523,-0.077,0.0039,0.0029,0.0126,0.012,0.017,-0.015,0.016,0.021,0.002,-15.63,-58.97,-65.13,24.33,-47.78,-84.85,0,-2,-3.07,0.11,0.08,-0.39,1.22,3.91,1
552,0.03,-1.37,1.95,0.4636,-2.1079,1.4622,0.0043,-0.0079,-0.0146,0.15,-0.375,-0.25,-0.0699,-0.0452,-0.2598,-0.0971,0.0565,-0.357,-0.067,0.038,-0.169,-0.082,0.065,-0.31,-33.26,123.92,25.31,-2.14,42.08,-17.77,0,0,0,0.28153,-0.27584,0.16886,7.3,12.8,5
553,-0.2,-1.76,0.09,-0.6877,-3.1542,0.0098,0.0031,0.0037,0.016,-0.0125,0.2325,0.895,0.0141,-0.0197,-0.0342,0.0039,-0.0277,-0.0502,0.018,0.055,0.053,0.011,0.009,0.043,17.21,53.68,-10.22,1,-39.8,-49.08,0.21,1.08,2.49,0.03,-0.16,-0.25,0.8685,-4.0097,-1.3315
554,-0.13,0.25,-0.25,-1.3463,-0.6388,-1.1649,-1.00E-04,0.0023,0.0029,0.0575,0.5175,0.5475,0.0894,0.1193,0.1271,0.0736,0.0741,0.1618,0.007,0.062,0.07,0.045,0.12,0.281,-32.72,-58.03,2.28,0.56,-2.8,9.73,0,0,0,-0.0051,0.1267,0.1663,1.2,3.2,4.7
555,-0.42,1.73,13.93,1.8075,1.2419,14.1714,-0.0056,-0.0741,-0.1023,0.74,-3.09,-4.8475,0.0979,0.2251,0.5678,0.0961,0.2038,0.1198,-0.078,-0.042,0.218,-0.044,0.136,0.459,-31.51,41.81,51.63,21.03,41.13,38.07,0,0,0,0.2396,-1.3044,-2.0205,-1.3,-1.1,18.8
556,0.51,1.66,1.02,0.217,1.3638,1.2175,-0.0021,-0.0127,0.0304,0.3,0.78,-0.92,-0.0057,0.0854,-0.1309,-0.0483,-0.0164,-0.1881,-0.026,0.042,0.074,-0.029,0.039,0.038,13.66,-21.91,5.46,-4.63,-20.6,-22.11,0,0,0,0.3965,0.8848,-0.2481,0.3,1.8,-14.2
557,-0.45,1.76,4.18,-1.0506,0.4147,3.2916,0.0009,-0.0295,-0.0319,0.1825,-1.1425,-0.6525,-0.0071,0.1051,0.0807,0.0078,0.0471,0.071,-0.038,0.016,-0.042,-0.049,0.014,0.002,4.81,-27.29,-87.84,3.53,-15.24,-33.37,0,0,0,0.1192,-0.5374,-0.2535,0.5,-4.8,4.3
558,0.15,0.58,0.52,0.5136,2.017,1.5937,0.0007,0.0036,0.0125,0.05,0.1325,0.205,-0.0366,-0.0981,-0.0892,-0.0162,-0.0761,-0.1044,-0.065,-0.119,-0.064,-0.024,-0.06,-0.04,-17.37,-31.55,-42.62,-8.37,-15.76,-8.55,-0.07,0.26,1.11,0.01,-0.38,-0.33,0.237,1.7196,0.7704
559,-0.38,-0.72,0.9,-0.4989,0.5233,0.6763,-0.007,-0.0208,-0.0161,0.3425,0.4725,0.1575,-0.0375,-0.0193,-0.0589,-0.0119,-0.0163,-0.0429,-0.047,0,-0.033,-0.041,-0.065,-0.068,38.59,44.45,16.67,7.78,10.59,-17.84,0.33,1.69,3.46,0.19,0.34,0.41,-0.3047,4.0131,10.8387
560,-0.15,-0.66,-0.37,-0.3313,-0.9975,0.6081,0.0026,0.0086,-0.0205,-0.5525,-0.035,2.835,0.0246,0.0563,0.0335,-0.0002,-0.0132,-0.0097,-0.051,0.006,-0.102,0.003,0.026,-0.068,7.19,-54,92.24,2.58,8.76,12.1,-0.03,-0.5,0.09,0,-0.16,0.75,-0.2924,0.6155,-0.0497
561,-2.55,0.48,0.44,-2.2478,1.2964,0.2457,0.0149,0.0164,0.0016,-0.355,-0.3575,0.105,0.0274,0.0159,0.0507,0,0.0002,0.0185,0.049,0.017,0.061,0.022,0.011,0.017,55.81,-53.58,-102.7,22.56,-4.21,-23,0.33,0.63,0.97,-0.27,-0.14,0.41,-0.0459,1.8849,2.687
562,-1.7,-0.15,-0.29,-0.0317,-1.1313,-5.1338,0.0111,0.0205,0.0347,-0.3375,-0.755,-0.7875,-0.0699,-0.0572,0.0711,-0.027,-0.0181,0.0717,-0.034,0.088,0.267,-0.01,0.063,0.112,1.45,-6.83,83.1,18.68,-2.88,8.8,-1.21,-1.4,-0.99,-0.27,-0.26,-0.33,-4.3176,-4.7414,-5.7552
563,-0.79,-3.62,-4.46,0.6342,-5.5722,-3.8842,-0.0211,-0.0311,-0.0418,-0.975,-1.125,-1.5655,0.0115,0.2354,0.2675,0.0085,0.3453,0.2598,-0.014,0.268,0.285,0.026,0.196,0.055,-1.66,244.83,248.44,1.27,54.54,60.64,0,0,0,-0.51628,-1.17113,-1.53203,6.2945,-6.5,-6.1
564,-0.48,-3.57,-1.76,-0.667,-4.518,-6.0289,0.0059,0.0028,-0.0096,-0.6725,-1.3325,-1,-0.0414,0.1034,0.1088,-0.0483,0.0326,0.0533,0.035,0.076,0.019,0.029,0.081,0.012,-6.23,41.31,49.54,1.95,28.54,1.65,0.21,-0.66,-1.08,-0.31,-0.38,-0.04,-0.4073,-6.2318,-5.6032
565,0.08,0.52,2.6,-0.0725,-0.552,2.9401,0.002,-0.0018,-0.0013,0.3475,0.445,1.035,-0.0229,0.1609,0.093,0.0326,0.1039,0.0247,0.015,0.184,0.129,0.015,0.131,0.086,15.25,64.9,-84.07,1.15,4.68,-29.53,0,0,0,0.1266,0.0592,0.0805,3.5,3.7,6
566,3.16,7.81,6.82,3.2499,7.3233,7.6465,-0.0052,-0.0283,-0.0226,1.0075,2,2.495,-0.1464,-0.0872,0.0539,-0.064,-0.0078,0.0457,-0.043,-0.104,-0.08,-0.028,-0.013,-0.102,-52.06,-162.05,-148.12,-31.15,-58.92,-36.35,0,0,0,0.7353,1.4715,1.6522,3.3,10.6,21.4
567,0.3,-0.14,-1.39,0.4789,-0.1188,-0.5912,0.0015,0,0.0153,0.1925,0.3075,0.95,0.0447,-0.0001,-0.1432,0.0198,-0.0177,-0.1022,0.042,0.05,0.03,0.022,0.028,0.038,0.99,3.46,-31.66,-2.24,-11.17,-9.47,0.28,0.53,-1.52,0.17,0.15,0.17,0.9719,0.336,-5.5264
568,-2.79,-2.93,0.02,-0.8235,-2.1213,1.3707,0.006,-0.0026,-0.0021,-0.0975,0.3,1.1275,-0.0311,-0.0185,-0.0058,-0.0381,-0.0159,-0.0401,-0.027,0.009,0.02,-0.013,0.017,0.035,5.15,107.86,33.7,35.32,58.66,-3.42,-0.43,-1.15,-1.81,0.03,-0.36,0.37,-0.2145,-0.9914,5.424
569,1.14,0.64,-5.05,0.6031,1.538,-3.5178,-0.0023,-0.0117,0.017,0.57,1.145,0.4575,-0.0429,0.0283,-0.0012,-0.0322,-0.0398,-0.0254,-0.07,-0.092,-0.031,-0.054,-0.063,0.053,11.73,13.99,172.36,-4.54,10.62,49.39,0,0,0,0.231,0.3862,-0.3661,-2.4,3.5,2.1
570,1.34,2.72,3.7,0.8159,0.9548,-0.2504,0.0022,-0.0069,0.0172,0.365,1.1375,-1.0325,-0.0548,-0.101,-0.126,-0.0281,-0.1229,-0.1635,-0.031,-0.027,0.044,0,-0.005,0.014,-35.77,-13.89,-83.01,-23.71,-55.19,-96.46,-1.43,0.91,2.93,0.13,0.6,-1.09,-3.1609,4.2574,4.3255
571,2.62,3.45,-1.71,0.551,0.4803,-2.695,-0.0002,0.002,-0.0042,0.4,0.65,0.79,-0.0145,0.0511,0.194,-0.0208,0.0229,0.0985,-0.021,0.027,0.091,-0.01,0.016,0.019,-35.5,-35.92,78.68,-40.89,-127.61,-0.52,0.41,2.02,1.04,0.22,0.03,-0.15,5.7778,4.8801,-3.4315
572,1.01,1.54,1.25,-0.5996,0.7823,1.608,0.0038,-0.0067,-0.0054,0.3,0.71,0.5725,-0.1478,-0.0901,-0.1843,-0.0281,-0.0083,0.0115,-0.073,-0.017,-0.057,-0.013,-0.019,-0.015,8.07,-10.71,-1.36,-23.46,-43.47,-48.7,-1.6,-1.46,-0.18,-0.15,0.23,0.16,-3.4036,4.5704,-1.8325
573,-0.68,3.71,4.31,-0.7021,2.5964,2.2915,0.0004,-0.0086,-0.0029,-0.215,0.7475,0.9825,0.0388,-0.1477,-0.3506,0.052,-0.0888,-0.2553,0.004,-0.117,-0.222,-0.016,-0.071,-0.202,11.8,-62.48,-85.91,20.19,-51.97,-71.5,-0.18,1.6,0.73,-0.11,1.27,1.23,1.6244,10.4515,0.9412
574,0.93,4.28,2.28,-0.7545,3.2804,0.5909,0.0087,0.0014,0.0019,-0.1025,0.5325,0.345,-0.0019,0.0724,0.1308,-0.0363,-0.0445,-0.0084,0.025,0.128,0.149,0.008,0.026,0.037,38.52,-77.92,-17.81,8.1,-29.92,-3.87,0.02,1.21,1.54,-0.01,0.37,-0.13,-0.0813,7.9488,10.2846
575,-0.78,-0.23,0.57,-1.3396,-0.9595,1.897,0.0092,-0.0174,0.0238,-0.05,1.975,0.69,0.0244,0.0523,0.0203,0.0236,0.0827,0.0507,0.026,0.012,0.049,0.005,0.007,0.031,30.42,12.53,-100.98,18.35,5.62,-6.19,0.3,0.61,3.86,-0.14,0.16,0.88,0.3404,7.4676,10.6774
576,1.01,0.93,-0.23,0.718,1.5884,-0.3622,-0.0041,0.0028,0.0121,-0.1825,-0.0075,-1.2875,-0.0681,-0.0626,-0.0355,-0.0374,-0.0262,0.0221,-0.064,-0.034,0,-0.018,-0.003,0.014,-12.49,-63.89,-56.58,-19.09,-16.71,-37.85,-0.72,-0.64,-2.08,-0.04,0.01,-0.71,-1.9439,-2.328,-2.8858
577,3.55,-0.11,-2.57,1.6827,1.0801,-1.8531,-0.0052,0.0133,0.0036,0.44,-0.56,-0.465,-0.0079,0.0879,0.1648,-0.0288,0.0368,0.1242,-0.013,0.025,0.084,-0.017,-0.034,-0.01,-38.74,-17.4,91.35,-58.44,33.27,113.56,1.18,0.98,-1.85,0.15,-0.23,-0.46,5.8989,6.7735,-0.4799
578,-0.44,-2.2,-0.53,1.2157,0.9363,0.8878,-0.001,0.0021,-0.0038,0.155,0.4025,0.635,-0.0106,-0.028,0.0014,-0.0062,-0.0522,-0.0379,-0.018,-0.03,0.006,-0.017,-0.029,-0.049,-9.17,-44.75,-85.37,-5.8,-22.6,-29.7,0.49,0.43,1.71,0.17,0.41,0.66,1.0622,-1.629,3.2094
579,0.07,1.25,0.13,1.0104,2.9481,1.8332,0.003,0.0152,0.0159,0.015,-0.06,-0.015,-0.0098,-0.1768,-0.0895,-0.0099,-0.068,-0.043,0.019,-0.025,-0.011,0.01,-0.023,-0.035,-26.95,-69.87,-78.45,20.49,-13.6,-24.93,2.72,-24.08,-0.85,-0.05,-0.02,-0.02,2.75,-1.13,5.14
580,1.52,1.8,-1.12,0.7895,0.552,0.7897,0.008,0.0112,-0.0176,0.15,0.1475,2.375,-0.0141,0.0141,-0.0654,-0.0251,-0.0422,-0.0584,0,0.009,-0.187,0.008,0.038,-0.071,-3.52,-49.69,105.59,-7.93,-7.63,31.62,0,-0.55,-0.14,-0.05,-0.35,0.29,0.0246,0.4909,-4.0252
581,0.3,-1.83,-4.53,-1.5846,-1.1496,-4.2643,-0.0072,0.0017,-0.0191,0.05,0.4063,-0.4,-0.0331,0.0695,0.1137,-0.0319,0.1898,0.169,0.014,0.194,0.223,0.023,0.228,0.205,59.95,20.15,136.57,-4.91,27.69,51.7,0,0,0,-0.02137,0.48263,0.06563,-2.5,3,0
582,-0.78,-1.81,-2.73,-1.2316,-1.5333,-0.2512,0.007,0.0094,0.0021,-0.3925,0.33,0.2,0,0.0868,-0.0205,0,-0.0021,-0.0366,0.045,0.075,-0.074,0.013,0.015,-0.055,35.12,62.12,-11.03,5.05,32.34,27.74,1.51,3.02,-0.65,-0.09,0.16,0.06,0,-1,-8.1
583,1.13,2.67,2.47,1.0378,1.6347,1.3728,0.0028,0.0077,0.0183,0.1275,0.145,-0.5825,-0.0039,-0.0164,-0.1654,-0.0207,-0.054,-0.0885,-0.012,-0.025,-0.108,-0.006,-0.006,-0.023,-21.47,-40.59,-63.06,-33.69,-93.34,-90.4,0.2,-0.3,-1.37,0.04,0.05,0.11,0.9516,1.6269,-4.7602
584,-0.06,-2.06,1.52,1.8128,1.8077,4.4654,-0.0129,0.0065,-0.0029,0.78,1.2925,1.665,-0.0459,-0.0286,-0.0147,-0.0081,-0.0125,-0.0111,-0.119,-0.051,-0.107,-0.061,-0.049,-0.073,-42.37,24.93,-136.44,-13.2,31.06,-20.73,0.05,4.43,5.83,0.53,0.69,1.26,1,12.9,14.1
585,0.74,0.46,0.52,1.1157,1.53,2.4877,-0.0044,-0.0042,0.0172,0.54,0.3775,-0.37,-0.1127,-0.1854,-0.2554,-0.02,-0.0245,-0.0335,-0.075,-0.105,-0.166,-0.032,-0.038,-0.024,-44.78,-54.26,-87.8,-16.83,-29.08,-52.88,-0.67,-1.12,-3.9,0.06,-0.23,-0.86,0.5871,0.758,-6.3313
586,0.58,2.65,-3.46,-0.898,4.3031,-2.8001,0.004,-0.0081,0.0069,0.255,1.9975,0.4925,0.0466,-0.0166,0.0317,0.016,0.044,0.0686,0.027,-0.059,0.029,0.01,0.004,0.029,-16.02,-158,-30.83,-11.86,-38.42,26.79,0.14,-0.25,-0.89,-0.1,0.33,-0.06,0.3055,1.5541,-3.7535
587,-0.15,-0.17,-3,0.5745,-1.1863,-2.0672,-0.0027,0.0134,0.0617,1.2875,0.3375,-1.4925,0.0112,-0.1389,-0.1497,-0.0497,-0.1253,-0.127,0.05,0.013,0.141,0.013,-0.008,0.019,5.32,-2.01,-20.15,1.62,7.7,71.32,0.27,0.13,1.21,0.62,0.24,-1.3,2.6519,2.3764,9.7379
588,0,3.71,3.01,-1.1168,-0.5056,2.7544,-0.0013,-0.016,0.003,-0.175,0.31,0.36,-0.0001,-0.0099,-0.3784,0,-0.0315,-0.4092,-0.057,-0.042,-0.175,-0.088,-0.111,-0.366,-6.71,-17.72,-69.65,0,-32.14,-53.09,0,0,0,0,0.0843,-0.2517,0,-18.2,-36.2
589,-0.94,0.65,0.13,-1.5664,0.2809,-0.4978,0.0029,0.0099,0.0164,0.035,-0.1,-0.1,0.0144,0.0243,0.0848,0.022,-0.0078,0.0086,0.03,0.037,0.082,0.003,0.003,-0.006,52.51,0.16,9.97,8.15,-8.74,-14.18,0.07,0.22,-0.36,-0.12,-0.11,-0.17,-0.4481,2.2851,1.7781
590,0.72,0.02,-0.35,0.4677,-1.2032,-0.3264,-0.0017,-0.0044,-0.0077,0,0.25,0.275,-0.0445,-0.0122,-0.1426,-0.0256,-0.026,-0.1161,-0.049,-0.048,-0.065,-0.027,-0.037,-0.047,-8.85,28.64,-9.75,-6.9,-2.54,-0.07,0,0,0,0.038844,0.095658,-0.105491,1.8,5,2.25
591,2.63,2.21,1.38,3.1135,3.6067,3.9774,-0.0241,0.0033,0.0228,0.625,0.445,0.1375,-0.0681,-0.0201,0.1025,0,0.0155,0.0471,-0.07,0.131,0.264,-0.018,0.09,0.14,-107.1,-127.3,-70.39,-33.12,-38.54,-5.72,-0.61,-0.6,2.78,0.61,0.69,0.77,-3,-1.1,6.8
592,7.34,11.71,17.86,-11.3221,-9.3076,-0.2733,0.0038,0.0154,0.0016,-0.74,-0.85,-0.2725,-0.096,-0.1529,-0.1693,-0.081,-0.0512,-0.1654,0.044,-0.021,0.001,0.008,0.018,0.008,83.85,110.52,70.98,-46.2,-7.06,-83.28,-1.19,-8.55,-6.4,-0.48,-0.23,-0.21,-5.6627,-9.4471,-2.6211
593,0.56,1.23,-2,0.319,0.9424,-3.181,-0.0048,-0.0086,-0.0075,-0.0125,0.6225,0,0.0378,0.036,0.241,0.0246,0.0231,0.2336,0.014,-0.014,0.097,0.006,-0.008,0.029,0.49,-83.5,3.96,-8.22,-49.64,-15.06,0.89,2.17,-1.01,0.05,0.43,-0.16,-0.0164,-0.1041,-12.2623
594,-0.16,0.9,-0.21,-0.1304,0.111,0.3736,-0.0019,0.0026,-0.0115,-0.215,-0.8,-0.005,0.0229,0.0261,-0.0936,0.0039,-0.0014,-0.0251,0.032,-0.01,-0.11,-0.003,-0.066,-0.165,2.63,-8.84,-26.71,1.37,-13.93,-28.13,-1.05,0.51,-2.4,-0.06,-0.56,-0.61,3.4,3.3,-4.5
595,-0.35,2.68,2.63,-1.898,2.8369,3.2422,-0.0031,-0.0143,-0.0258,-0.105,0.0825,0.0525,0,0.1094,0.1783,0,0.0395,0.0512,0.005,0.033,0.109,0.003,0.006,-0.006,-3.41,-59.03,-60.22,-6.94,-41.3,-56.57,0.22,2.4,6.63,0.21,0.63,0.55,0,4.6431,15.9674
596,0.21,1.25,-1.27,0.6073,1.2655,0.3855,-0.0006,0.0025,-0.0141,0.195,0.4625,1.145,-0.0398,-0.1162,0.0336,-0.0039,-0.0083,0.0946,-0.012,-0.067,0.016,-0.008,-0.046,-0.022,-38.68,-73.01,-19.11,-8.58,-39.73,15.96,-0.22,1.45,6.43,0.15,0.44,0.84,-2.5128,-5.7817,3.988
597,0.05,0.49,1.73,-0.4735,0.6829,-1.4432,0.0051,0.0119,-0.0027,0.4325,0.3225,0.8675,0.0034,0.0245,-0.0379,-0.0278,-0.0045,-0.0452,0,0.018,0.047,-0.014,0.017,0.002,-5.81,10.69,59.64,-1.21,36.53,35.37,0.08,0.09,0.56,-0.02,-0.49,-0.38,0.3262,-0.004,7.8074
598,0.72,1.41,1.85,-0.3378,2.1414,2.0527,0.0019,0.001,-0.0022,0.0125,0.505,1.0975,-0.0281,-0.1576,-0.0984,-0.0359,-0.1348,-0.1212,-0.012,-0.089,-0.055,-0.013,-0.021,-0.015,1.75,-113.52,-102.61,-10.07,-68.03,-82.84,1.58,3.92,5.19,-0.22,0.12,0.83,1.0458,7.1329,12.3725
599,-0.44,-0.28,2.35,0.3807,1.6426,5.5271,-0.0021,0.0037,-0.0214,0.235,0.38,1.1825,0,0.0942,-0.0668,0.0117,0.0346,0.0156,0.009,0.089,-0.075,0.023,0.014,-0.041,12.2,-39.36,-128.31,-2.89,-11.28,-37.57,0,0,0,0.6187,0.7465,1.307,3.1,2.5,-2.9
600,-0.08,-3.61,-4.13,1.567,-0.9392,-4.4522,0.0094,0.0182,0.0247,0.095,-0.4275,-0.035,0.0399,0.1122,0.1894,-0.0043,0.0095,0.0369,0.038,0.108,0.179,0.013,0.011,0.017,-1.88,69.06,164.95,0.96,45.37,65.19,0.17,0.52,-0.22,0.04,-0.27,-0.22,2.2,2.8827,-4.1282
601,-1.96,1.29,-1.94,-0.5824,1.4843,0.4411,0.0037,-0.005,-0.0099,0.125,0.175,0.25,-0.1414,0.0179,0.0714,-0.0848,0.0163,0.1445,-0.046,-0.098,-0.057,-0.036,-0.026,0.021,32.48,-114.72,-55.63,16.12,-21.93,11.38,0,0,0,0.090902,0.125151,0.076538,-15.7,1.4,-9.5
602,-8.15,6.12,-12.99,-12.7828,5.1594,-13.0607,-0.0022,0.0153,0.0389,-0.62,1.85,-2.815,-0.0317,-0.1323,0.1812,-0.0231,-0.0381,0.077,-0.004,-0.147,0.108,-0.014,-0.085,0.037,111.23,-152.64,41.83,17.26,-29.29,56.56,0,0,0,-1.886,0.0275,-3.7477,4.1,27.2,5.8
603,0.26,3.28,2.31,-2.5812,1.9942,2.6891,-0.0003,0.0163,0.0002,-0.38,0.295,0.2525,-0.0259,-0.1024,-0.1062,-0.0202,-0.1054,-0.1322,0.029,0.037,0.001,-0.011,0.032,0.034,67.14,-109.01,-114.63,-8.53,-57.08,-57.99,-0.27,-0.35,0.45,-0.14,0.47,0.66,-1.1156,-0.2405,3.2604
604,-0.03,-0.69,1.84,0.2987,-2.234,3.5145,0.0119,0.0054,0.0216,-0.265,0.45,0.66,0.0522,0.014,-0.2533,0.0156,-0.0163,-0.073,0.065,0.067,-0.103,0.054,0.055,-0.065,2.5,34.44,-45.31,4.46,8.18,-28.51,0,0,0,-0.08,-0.08,-0.03,1.4,0.8,-6
605,-0.44,1.64,1.98,0.1548,0.1383,1.5254,-0.0025,-0.0013,0.002,-0.145,0.065,0.425,0.0424,0.0069,0.0325,0.0081,0.0086,-0.0054,0.027,0.047,0.058,0.007,0.006,0.008,-0.46,-3.88,-62.07,8.92,-7.06,-29.47,0.8,3.36,7.45,-0.02,0.08,0.36,1.22,2.9,5.39
606,-1.14,2.53,2.57,-1.0413,0.2603,0.2561,0.0002,0.0068,0.0063,0.0025,-0.1325,0.3025,0.0227,-0.0741,-0.0331,-0.0039,-0.0441,-0.0867,0.016,0.005,-0.009,0,-0.012,-0.027,36.32,-2.95,-36.95,17.39,-31.77,-45.53,-0.01,-1.34,-0.89,0.03,0.15,0.33,-3.2054,-4.0426,-2.4142
607,-0.54,-0.91,-3.9,-0.4957,0.0367,-1.5952,0.003,0.0288,0.0329,0.0925,-0.52,-1.6625,-0.0091,0.0166,0.0414,0.0041,0.0267,0.0499,0.033,0.097,0.099,0.025,0.151,0.177,23.78,56.57,18.99,13.99,29.18,28.66,0,0,0,0.165,0.0567,-0.4448,0.1,-2.2,-9.4
608,0.42,-1.12,-1.5,0.7766,0.313,-2.3929,-0.0074,0.0244,0.0301,0.1125,-0.9775,-1.975,0.0001,0.0112,0.037,0.016,0.0288,0.05,-0.069,0.067,0.06,-0.043,0.124,0.142,-9.17,31.38,17.32,1.23,14.34,7.81,0,0,0,0.2544,0.02,-0.5015,2.3,-0.6,-6.7
609,0.31,-1.24,0.91,1.4317,1.446,0.6883,0.0006,0.0017,-0.0038,0.335,0.625,1.3625,-0.0333,-0.1108,-0.1412,-0.0198,-0.0481,-0.0509,-0.022,-0.063,-0.168,-0.001,-0.013,-0.066,-37.64,-3.63,-32.43,-4.2,6.75,-26.24,-0.11,-2.21,-1.7,0.19,0.35,0.62,-0.7565,-4.5781,-0.9504
610,-0.95,0.01,-1.15,-0.3934,2.5006,-0.769,0.0038,-0.0069,-0.0205,0.125,-0.0975,-1.32,0.0256,0.1651,0.2476,-0.0044,0.0836,0.1192,0.026,0.031,0.069,0.001,-0.033,-0.1,16.06,-21.99,-21.65,8.02,0,31.88,0.47,2.81,2.17,-0.04,0.67,0.26,0.4556,5.8225,2.9544
611,0,-1.99,-0.04,-1.495,-0.4823,2.5195,-0.0029,-0.0176,-0.0085,-0.32,-0.1625,0.395,0,0.115,-0.0366,0,0.08,-0.0383,0.013,0.067,-0.054,0.008,0.033,-0.026,13.9,-3.81,-71.67,0,15.12,-23.68,0,-0.29,0.47,-0.29,-0.56,-0.54,0,-5.421,-1.1954
612,0.05,-1.3,-0.25,-0.2418,-0.5887,0.3079,-0.0012,-0.0101,0.003,0.175,0.33,0.2625,0.02,0.0306,0.1095,0.006,0.0196,0.047,0.022,0.057,0.172,0.018,0.085,0.127,15.8,65.52,41.34,1.99,15.83,-11.19,0.1,1.46,1.33,0.06,0.01,-0.59,2.5067,4.7713,5.7491
613,0,-3.41,3.28,-0.5219,-3.8157,2.5143,-0.0022,0.0306,0.0161,-0.0475,-0.94,1.8475,0.0074,0.0899,0.0576,0,0.0397,0.0399,0.022,0.098,0.116,0.005,0.043,0.055,3.8,60.47,-24.25,0,24.53,-2.19,0,0,0,0,-0.3968,1.1234,0,5.7,6.2
614,-2.1,-2.5,-0.15,-3.5276,-5.0616,-5.7203,0.0088,0.0359,0.0426,-0.2975,-2.095,-2.2225,0.1445,0.1515,0.0482,-0.0161,-0.0084,-0.0091,0.137,0.275,0.216,0.123,0.207,0.043,85.03,142.35,150.13,30.45,18.52,-4.69,0,0,0,-0.4117,-0.946,-0.8021,-0.6,-0.6,1.5
615,-0.7,-3.57,2.86,-1.3871,-1.3498,9.1881,-0.002,0.0027,0.0129,0.82,-0.635,1.745,0.0396,0.2297,0.0698,0.0612,0.1468,0.0632,-0.032,0.142,-0.015,0.008,0.023,-0.008,33.03,168.78,-127.59,0.64,30.74,-29.98,0.33,-0.35,1.75,0.27,-0.6,0.66,2.3273,0.8607,11.2239
616,0.71,0,0.45,0.8845,0.3273,2.6906,-0.0041,-0.0095,-0.0233,-0.095,0.025,0.21,0.0521,0.1175,0.3091,0.0278,0.0997,0.1445,-0.018,0.064,0.182,0.02,0.059,0.092,-12.04,-39.55,-71.53,-5.14,-20.77,-13.43,0.84,5.59,13.88,-0.08,0.1,0.22,3.8109,10.9915,26.9876
617,-0.22,1.39,3.21,-0.1437,2.657,2.2532,0.0006,0.0083,0.0057,-0.1225,0.585,0.215,0.0127,-0.0518,-0.1132,-0.0023,-0.0419,-0.0851,0.011,-0.032,-0.053,0.007,0.036,0.023,6.2,-102.93,-144.76,0.18,-34.1,-66.52,0.34,0.98,0.88,-0.1,0.39,0.14,0.1879,5.0549,6.039
618,1.35,2.77,4.06,0.3367,4.3884,6.0452,0.0013,0.0017,-0.0054,-0.04,0.9075,0.995,-0.0343,-0.2015,-0.1483,0,-0.0158,-0.0158,-0.008,-0.115,-0.045,-0.002,-0.057,-0.015,-3.03,-112.03,-108.97,-7,-32.98,-42.5,0.25,-1.19,-1.14,0.11,0.57,0.87,1.1,-3.1,-0.8
619,-0.71,-0.36,-0.96,-0.6534,-0.7096,-1.5669,0.0056,0.0027,0.0057,0.1575,0.3275,0.1825,-0.084,-0.188,-0.0744,-0.0997,-0.1029,0.0037,-0.036,-0.174,-0.089,-0.01,-0.029,-0.007,16.17,47.42,61.32,5.41,-4.09,0.71,0.68,0.69,-0.88,-0.05,0.3,-0.03,3.0487,5.3697,5.2064
620,-1.01,0.19,-0.39,-0.5756,1.3791,1.4716,-0.002,0.0016,0.0082,0.025,0.075,0.3,-0.0219,-0.1284,-0.1855,-0.0256,-0.1125,-0.15,-0.052,-0.094,-0.17,-0.042,-0.104,-0.172,9.35,-57.74,-40.45,2.7,-16.9,-9.88,0,0,0,0.021024,0.044988,0.13101,-0.1,-4.3,-4.5
